video_id,song_title,channel_name,original_title,audio_file
fDWOINk8CfU,CBD_i_espardenyes,Triquell,CBD i espardenyes,fDWOINk8CfU_CBD_i_espardenyes.mp3
ZGVpx7Xw4BA,La_nit_està_que_crema,Buhos - Topic,La nit està que crema,ZGVpx7Xw4BA_La_nit_està_que_crema.mp3
yK9Tn1oFddM,Nenes_presumides,Scorpio - Topic,Nenes presumides,yK9Tn1oFddM_Nenes_presumides.mp3
9h3Hkg7dd10,LA_NÒRIA,STAY HOMAS,LA NÒRIA,9h3Hkg7dd10_LA_NÒRIA.mp3
Ue5whrcVdxI,No_a_la_MAT,Pepet i marieta - Topic,No a la MAT,Ue5whrcVdxI_No_a_la_MAT.mp3
shfloE_NV-M,Bailoteo,The Tyets,Bailoteo,shfloE_NV-M_Bailoteo.mp3
Hnc_bJPJz6A,Electricitat,Miki Nuñez,Electricitat,Hnc_bJPJz6A_Electricitat.mp3
7JggcS36zbM,Cançons_d'amor,Els Catarres,Cançons d'amor,7JggcS36zbM_Cançons_d'amor.mp3
qltchGMKsI4,Deja_Vu,Moonlight Scorpio,Deja Vu,qltchGMKsI4_Deja_Vu.mp3
vq--4TIPxR4,Sweet_Caroline,Buhos - Topic,Sweet Caroline,vq--4TIPxR4_Sweet_Caroline.mp3
_Ann-krQ4ww,Ja_no_m'importa,Sara Roy - Topic,Ja no m'importa,_Ann-krQ4ww_Ja_no_m'importa.mp3
1W0YRGlFrG0,Citant_Mercè_Rodoreda,Els Amics de les Arts,Citant Mercè Rodoreda,1W0YRGlFrG0_Citant_Mercè_Rodoreda.mp3
vNOLmeNWVWY,"La_Festa_(feat._Santa_Salut,_The_Tyets,_JazzWoman)",La Pegatina,"La Festa (feat. Santa Salut, The Tyets, JazzWoman)","vNOLmeNWVWY_La_Festa_(feat._Santa_Salut,_The_Tyets,_JazzWoman).mp3"
yuOpYZRDaGw,Que_pasa_nen,Alizzz,Que pasa nen,yuOpYZRDaGw_Que_pasa_nen.mp3
QLuhfhao5MQ,Vides_llunyanes,Els Amics de les Arts,Vides llunyanes,QLuhfhao5MQ_Vides_llunyanes.mp3
uyLybOYqjpk,Seguirem_Ballant,Doctor Prats,Seguirem Ballant,uyLybOYqjpk_Seguirem_Ballant.mp3
JZGkE4GecRg,Un_cop_de_sort,La Pegatina,Un cop de sort,JZGkE4GecRg_Un_cop_de_sort.mp3
QzvDtUZw69M,La_pluja_tropical,Buhos - Topic,La pluja tropical,QzvDtUZw69M_La_pluja_tropical.mp3
5qny1AeoYjs,Aixeca_la_mà,Boom Boom Fighters,Aixeca la mà,5qny1AeoYjs_Aixeca_la_mà.mp3
1rx0g0BdC3U,La_Meva_Gent_(feat._Els_Amics_De_Les_Arts),La Pegatina,La Meva Gent (feat. Els Amics De Les Arts),1rx0g0BdC3U_La_Meva_Gent_(feat._Els_Amics_De_Les_Arts).mp3
DwSVkA3S2J0,Eixir_D'aquí,Vienna - Topic,Eixir D'aquí,DwSVkA3S2J0_Eixir_D'aquí.mp3
sFou6MjlVmg,Supermercat,Lildami,Supermercat,sFou6MjlVmg_Supermercat.mp3
B7jZ4emhQ6A,"Aquí,_ara_i_així_Estrella_Damm_2022",Santi Balmes - Topic,"Aquí, ara i així - Estrella Damm 2022","B7jZ4emhQ6A_Aquí,_ara_i_així_Estrella_Damm_2022.mp3"
kGwBdmLaOl8,Panya,ZOO POSSE,Panya,kGwBdmLaOl8_Panya.mp3
z4lNV_lyIs0,Queda't_Així,Joan Dausà,Queda't Així,z4lNV_lyIs0_Queda't_Així.mp3
zuTOVb_FZLg,"Terra_i_sal_(feat._Xavi_Sarrià,_Èric_Vergés,_Xanguito)",Pèl de Gall,"Terra i sal (feat. Xavi Sarrià, Èric Vergés, Xanguito)","zuTOVb_FZLg_Terra_i_sal_(feat._Xavi_Sarrià,_Èric_Vergés,_Xanguito).mp3"
URhOsF8HOCc,Mai_Trobaràs_30_Anys,Sopa de Cabra,Mai Trobaràs 30 Anys,URhOsF8HOCc_Mai_Trobaràs_30_Anys.mp3
2wFHUayu84Q,Que_t'agradi_veure'm,La Pegatina,Que t'agradi veure'm,2wFHUayu84Q_Que_t'agradi_veure'm.mp3
HI74S_dk6KQ,WAN_TUN,31 FAM,WAN TUN,HI74S_dk6KQ_WAN_TUN.mp3
ClYbLXNQSjE,T'he_Trobat_a_Faltar,Buhos - Topic,T'he Trobat a Faltar,ClYbLXNQSjE_T'he_Trobat_a_Faltar.mp3
tN8Ohys88kM,Grauera,ZOO POSSE,Grauera,tN8Ohys88kM_Grauera.mp3
qy7qR1jZF2A,Mira_On_Som,Sense Sal - Topic,Mira On Som,qy7qR1jZF2A_Mira_On_Som.mp3
mmhqvifv3tU,A_Poc_a_Poc,Doctor Prats,A Poc a Poc,mmhqvifv3tU_A_Poc_a_Poc.mp3
TNMzRfXo16o,Coco,The Tyets,Coco,TNMzRfXo16o_Coco.mp3
Jr8_62CIuug,Una_Cançó,Julen,Una Cançó,Jr8_62CIuug_Una_Cançó.mp3
hbVRQiHAKHY,Honestament,Els Catarres,Honestament,hbVRQiHAKHY_Honestament.mp3
MrJzGAcGw8I,Sents,Strombers,Sents,MrJzGAcGw8I_Sents.mp3
L01sTeITbmY,Elefants,Oques Grasses,Elefants,L01sTeITbmY_Elefants.mp3
u_sajpnBJaY,Quan_Cau_el_Sol,Txarango Oficial,Quan Cau el Sol,u_sajpnBJaY_Quan_Cau_el_Sol.mp3
CMOk4xssShU,Que_Vingui_Algú,Joan Dausà,Que Vingui Algú,CMOk4xssShU_Que_Vingui_Algú.mp3
2notZlGLrtk,Boires_I_Retrets_(Cancó_Oficial_de_la_Volta_2022),The Penguins Band - Topic,Boires I Retrets (Cancó Oficial de la Volta 2022),2notZlGLrtk_Boires_I_Retrets_(Cancó_Oficial_de_la_Volta_2022).mp3
Yi_XieeSVTw,Com_una_Bala,Itaca Band Oficial,Com una Bala,Yi_XieeSVTw_Com_una_Bala.mp3
vsj8g9Zax54,Serè_seré,Joan Masdéu,Serè seré,vsj8g9Zax54_Serè_seré.mp3
PBQ9VCyRgQ4,Mediterrani,Lildami,Mediterrani,PBQ9VCyRgQ4_Mediterrani.mp3
NJ6m1KVff1s,Caminar_lent,Senyor Oca,Caminar lent,NJ6m1KVff1s_Caminar_lent.mp3
GIquLOHpqRw,Bichota,BRATTY,Bichota,GIquLOHpqRw_Bichota.mp3
QtxQHwmQ8h8,Diamants,Els Catarres,Diamants,QtxQHwmQ8h8_Diamants.mp3
eeh_IoDzrwU,encara_he_de_cagar-la_més,Júlia Blum - Topic,encara he de cagar-la més,eeh_IoDzrwU_encara_he_de_cagar-la_més.mp3
MCOodSW-Se0,Ficció,Blaumut Oficial,Ficció,MCOodSW-Se0_Ficció.mp3
3HbrrctUzdc,Canta,Pepet i marieta - Topic,Canta,3HbrrctUzdc_Canta.mp3
1AouE7lzviM,Diga-li!,AUXILI,Diga-li!,1AouE7lzviM_Diga-li!.mp3
pwwEQFg2to8,5_Minuts,Alicia Rey - Topic,5 Minuts,pwwEQFg2to8_5_Minuts.mp3
_1R6vkLAyVM,Joia,Ferran Palau,Joia,_1R6vkLAyVM_Joia.mp3
NPoM62jknoo,Lliure,Les Montses,Lliure,NPoM62jknoo_Lliure.mp3
GcF0WjW3UoU,Ets_Tu,MOSAIC - Topic,Ets Tu,GcF0WjW3UoU_Ets_Tu.mp3
FCJdBIYaQCw,Nens_Del_Barri,31 FAM,Nens Del Barri,FCJdBIYaQCw_Nens_Del_Barri.mp3
8MhPSHoBwfk,Petar-ho,Oques Grasses,Petar-ho,8MhPSHoBwfk_Petar-ho.mp3
HlcoTOwkaHY,'nem_fora,Júlia Blum - Topic,'nem fora,HlcoTOwkaHY_'nem_fora.mp3
TzNFG5f11bc,Ho_Tenim_Tot,Joan Dausà,Ho Tenim Tot,TzNFG5f11bc_Ho_Tenim_Tot.mp3
krZCvYCJcfY,Només_Vull_Amor_(feat._FEZE),Siderland,Només Vull Amor (feat. FEZE),krZCvYCJcfY_Només_Vull_Amor_(feat._FEZE).mp3
F_nDxyjOFzc,Seguirem,Manu Guix Oficial,Seguirem,F_nDxyjOFzc_Seguirem.mp3
-ABmRmP1qh4,Bye_Bye,Oques Grasses,Bye Bye,-ABmRmP1qh4_Bye_Bye.mp3
kIu_Kz50QxE,La_Dels_Manolos,The Tyets,La Dels Manolos,kIu_Kz50QxE_La_Dels_Manolos.mp3
sGNtrB9CePU,No_Vull_Baixar,STAY HOMAS,No Vull Baixar,sGNtrB9CePU_No_Vull_Baixar.mp3
e-dEJZeIBWU,Tanca_Els_Ulls,Txarango Oficial,Tanca Els Ulls,e-dEJZeIBWU_Tanca_Els_Ulls.mp3
cKEi1JU_QHw,Tot_És_Més_Fàcil,Sara Roy - Topic,Tot És Més Fàcil,cKEi1JU_QHw_Tot_És_Més_Fàcil.mp3
_yV_rbkzAQM,Fem_un_Crit,La Plaga N11,Fem un Crit,_yV_rbkzAQM_Fem_un_Crit.mp3
eDxGGhMapOA,Som_Ocells,Nil Moliner,Som Ocells,eDxGGhMapOA_Som_Ocells.mp3
_bY-uzMwGXU,No_Sé_Com_T´ho_Fas,Els Amics de les Arts,No Sé Com T´ho Fas,_bY-uzMwGXU_No_Sé_Com_T´ho_Fas.mp3
pIbmSGc8Tjw,L'estiu_amb_tu,ariox - Topic,L'estiu amb tu,pIbmSGc8Tjw_L'estiu_amb_tu.mp3
wg9cq8Dpn-g,Massa_Bé,Doctor Prats,Massa Bé,wg9cq8Dpn-g_Massa_Bé.mp3
4zd7Ym1GXoo,T'estiu,Juanjo Monserrat,T'estiu,4zd7Ym1GXoo_T'estiu.mp3
juXBLpXxMSE,Cap_a_tu,el petit de cal eril,Cap a tu,juXBLpXxMSE_Cap_a_tu.mp3
W_NzV2R7Zfs,Tornaràs,Emboirats - Topic,Tornaràs,W_NzV2R7Zfs_Tornaràs.mp3
Di4J2rzUQF4,Lamant_malalta,Manel,L’amant malalta,Di4J2rzUQF4_Lamant_malalta.mp3
vpZen0oKIrI,Barcelona_Tropical,SUU,Barcelona Tropical,vpZen0oKIrI_Barcelona_Tropical.mp3
dGSEruBIxHA,Wake_Up,Oques Grasses,Wake Up,dGSEruBIxHA_Wake_Up.mp3
DaqzY7Yxnjc,"Amics,_Tiets_i_Coneguts",The Tyets,"Amics, Tiets i Coneguts","DaqzY7Yxnjc_Amics,_Tiets_i_Coneguts.mp3"
f4rzkqzEwmw,Mil_Batalles,Buhos - Topic,Mil Batalles,f4rzkqzEwmw_Mil_Batalles.mp3
Lyyy25aAb1M,Cauen_les_estrelles,el petit de cal eril,Cauen les estrelles,Lyyy25aAb1M_Cauen_les_estrelles.mp3
JNWq0bsWBrQ,Milionària,ROSALÍA,Milionària,JNWq0bsWBrQ_Milionària.mp3
91uTW843Bg4,Un_altre_aire,Vienna grup,Un altre aire,91uTW843Bg4_Un_altre_aire.mp3
